:START_ID,:END_ID,relation,:TYPE
109,15109,Mn-max,Mn-max
110,15110,Mn-max,Mn-max
111,15111,Mn-max,Mn-max
112,15112,Mn-max,Mn-max
113,15113,Mn-max,Mn-max
114,15114,Mn-max,Mn-max
115,15115,Mn-max,Mn-max
116,15116,Mn-max,Mn-max
117,15117,Mn-max,Mn-max
118,15118,Mn-max,Mn-max
119,15119,Mn-max,Mn-max
120,15120,Mn-max,Mn-max
121,15121,Mn-max,Mn-max
122,15122,Mn-max,Mn-max
123,15123,Mn-max,Mn-max
124,15124,Mn-max,Mn-max
125,15125,Mn-max,Mn-max
126,15126,Mn-max,Mn-max
127,15127,Mn-max,Mn-max
128,15128,Mn-max,Mn-max
129,15129,Mn-max,Mn-max
130,15130,Mn-max,Mn-max
131,15131,Mn-max,Mn-max
132,15132,Mn-max,Mn-max
133,15133,Mn-max,Mn-max
134,15134,Mn-max,Mn-max
135,15135,Mn-max,Mn-max
136,15136,Mn-max,Mn-max
137,15137,Mn-max,Mn-max
138,15138,Mn-max,Mn-max
139,15139,Mn-max,Mn-max
140,15140,Mn-max,Mn-max
141,15141,Mn-max,Mn-max
142,15142,Mn-max,Mn-max
143,15143,Mn-max,Mn-max
144,15144,Mn-max,Mn-max
145,15145,Mn-max,Mn-max
146,15146,Mn-max,Mn-max
147,15147,Mn-max,Mn-max
148,15148,Mn-max,Mn-max
149,15149,Mn-max,Mn-max
150,15150,Mn-max,Mn-max
151,15151,Mn-max,Mn-max
152,15152,Mn-max,Mn-max
153,15153,Mn-max,Mn-max
154,15154,Mn-max,Mn-max
155,15155,Mn-max,Mn-max
156,15156,Mn-max,Mn-max
157,15157,Mn-max,Mn-max
158,15158,Mn-max,Mn-max
159,15159,Mn-max,Mn-max
160,15160,Mn-max,Mn-max
161,15161,Mn-max,Mn-max
162,15162,Mn-max,Mn-max
163,15163,Mn-max,Mn-max
164,15164,Mn-max,Mn-max
165,15165,Mn-max,Mn-max
166,15166,Mn-max,Mn-max
167,15167,Mn-max,Mn-max
168,15168,Mn-max,Mn-max
169,15169,Mn-max,Mn-max
170,15170,Mn-max,Mn-max
171,15171,Mn-max,Mn-max
172,15172,Mn-max,Mn-max
173,15173,Mn-max,Mn-max
174,15174,Mn-max,Mn-max
175,15175,Mn-max,Mn-max
176,15176,Mn-max,Mn-max
177,15177,Mn-max,Mn-max
178,15178,Mn-max,Mn-max
179,15179,Mn-max,Mn-max
180,15180,Mn-max,Mn-max
181,15181,Mn-max,Mn-max
182,15182,Mn-max,Mn-max
183,15183,Mn-max,Mn-max
184,15184,Mn-max,Mn-max
185,15185,Mn-max,Mn-max
186,15186,Mn-max,Mn-max
187,15187,Mn-max,Mn-max
188,15188,Mn-max,Mn-max
189,15189,Mn-max,Mn-max
190,15190,Mn-max,Mn-max
191,15191,Mn-max,Mn-max
192,15192,Mn-max,Mn-max
193,15193,Mn-max,Mn-max
194,15194,Mn-max,Mn-max
195,15195,Mn-max,Mn-max
196,15196,Mn-max,Mn-max
197,15197,Mn-max,Mn-max
198,15198,Mn-max,Mn-max
199,15199,Mn-max,Mn-max
200,15200,Mn-max,Mn-max
201,15201,Mn-max,Mn-max
202,15202,Mn-max,Mn-max
203,15203,Mn-max,Mn-max
204,15204,Mn-max,Mn-max
205,15205,Mn-max,Mn-max
206,15206,Mn-max,Mn-max
207,15207,Mn-max,Mn-max
208,15208,Mn-max,Mn-max
209,15209,Mn-max,Mn-max
210,15210,Mn-max,Mn-max
211,15211,Mn-max,Mn-max
212,15212,Mn-max,Mn-max
214,15213,Mn-max,Mn-max
215,15214,Mn-max,Mn-max
216,15215,Mn-max,Mn-max
217,15216,Mn-max,Mn-max
218,15217,Mn-max,Mn-max
219,15218,Mn-max,Mn-max
220,15219,Mn-max,Mn-max
221,15220,Mn-max,Mn-max
222,15221,Mn-max,Mn-max
223,15222,Mn-max,Mn-max
224,15223,Mn-max,Mn-max
225,15224,Mn-max,Mn-max
1,16001,Mn-min,Mn-min
2,16002,Mn-min,Mn-min
3,16003,Mn-min,Mn-min
4,16004,Mn-min,Mn-min
5,16005,Mn-min,Mn-min
6,16006,Mn-min,Mn-min
7,16007,Mn-min,Mn-min
8,16008,Mn-min,Mn-min
9,16009,Mn-min,Mn-min
10,16010,Mn-min,Mn-min
11,16011,Mn-min,Mn-min
12,16012,Mn-min,Mn-min
13,16013,Mn-min,Mn-min
14,16014,Mn-min,Mn-min
15,16015,Mn-min,Mn-min
16,16016,Mn-min,Mn-min
17,16017,Mn-min,Mn-min
18,16018,Mn-min,Mn-min
19,16019,Mn-min,Mn-min
20,16020,Mn-min,Mn-min
21,16021,Mn-min,Mn-min
22,16022,Mn-min,Mn-min
23,16023,Mn-min,Mn-min
24,16024,Mn-min,Mn-min
25,16025,Mn-min,Mn-min
26,16026,Mn-min,Mn-min
27,16027,Mn-min,Mn-min
28,16028,Mn-min,Mn-min
29,16029,Mn-min,Mn-min
30,16030,Mn-min,Mn-min
31,16031,Mn-min,Mn-min
32,16032,Mn-min,Mn-min
33,16033,Mn-min,Mn-min
34,16034,Mn-min,Mn-min
35,16035,Mn-min,Mn-min
36,16036,Mn-min,Mn-min
37,16037,Mn-min,Mn-min
38,16038,Mn-min,Mn-min
39,16039,Mn-min,Mn-min
40,16040,Mn-min,Mn-min
41,16041,Mn-min,Mn-min
42,16042,Mn-min,Mn-min
43,16043,Mn-min,Mn-min
44,16044,Mn-min,Mn-min
45,16045,Mn-min,Mn-min
46,16046,Mn-min,Mn-min
47,16047,Mn-min,Mn-min
48,16048,Mn-min,Mn-min
49,16049,Mn-min,Mn-min
50,16050,Mn-min,Mn-min
51,16051,Mn-min,Mn-min
52,16052,Mn-min,Mn-min
53,16053,Mn-min,Mn-min
54,16054,Mn-min,Mn-min
55,16055,Mn-min,Mn-min
56,16056,Mn-min,Mn-min
57,16057,Mn-min,Mn-min
58,16058,Mn-min,Mn-min
59,16059,Mn-min,Mn-min
60,16060,Mn-min,Mn-min
61,16061,Mn-min,Mn-min
62,16062,Mn-min,Mn-min
63,16063,Mn-min,Mn-min
64,16064,Mn-min,Mn-min
65,16065,Mn-min,Mn-min
66,16066,Mn-min,Mn-min
67,16067,Mn-min,Mn-min
68,16068,Mn-min,Mn-min
69,16069,Mn-min,Mn-min
70,16070,Mn-min,Mn-min
71,16071,Mn-min,Mn-min
72,16072,Mn-min,Mn-min
73,16073,Mn-min,Mn-min
74,16074,Mn-min,Mn-min
75,16075,Mn-min,Mn-min
76,16076,Mn-min,Mn-min
