,C.max,C.min,Si.max,Si.min,Mn.max,Mn.min,P.max,P.min,S.max,S.min,Cr.max,Cr.min,Ni.max,Ni.min,Mo.max,Mo.min,N.max,N.min,Ti.max,Ti.min,V.max,V.min,Nb.max,Nb.min,B.max,B.min,Co.max,Co.min,更多
66,0.7,0.6,0.6,0.2,1.2,0.7,0.035,-,0.03,-,1.2,0.8,,,0.45,0.2,,,,,,,0.1,0.06,,,,,
67,0.5,0.3,2.5,1,2,-,0.04,-,0.03,-,27,24,36,33,0.5,-,,,,,,,,,,,,,
68,0.19,0.15,0.5,-,0.8,0.55,0.015,-,0.015,-,1.8,1.3,3.5,3,0.6,0.45,,,,,0.05,-,,,,,,,
69,0.28,0.18,2.7,1.8,11,8.5,0.03,-,0.03,-,21,17,3,2,,,0.28,0.2,,,,,,,,,,,
70,0.03,-,1.5,-,1.5,-,0.04,-,0.03,-,20,18,12,9,3.5,3,0.2,0.1,,,,,,,,,,,
71,0.24,0.16,0.8,-,0.8,-,0.035,-,0.025,-,13.5,11.5,,,,,,,,,0.05,-,,,,,,,Cu+W+V≤0.5
72,0.06,-,1,-,1,-,0.03,-,0.025,-,14,12,6.5,5.5,1,0.4,,,,,0.08,-,,,,,,,
73,0.75,0.65,0.45,0.2,1.8,1.4,0.035,-,0.03,-,,,,,,,,,,,,,,,,,,,
74,0.5,0.3,2.5,1,2,-,0.04,-,0.03,-,21,18,39,36,0.5,-,,,,,,,1.8,1.2,,,,,
75,0.19,0.12,0.8,-,0.8,0.5,0.025,-,0.025,-,6,4,,,0.65,0.45,,,,,0.05,-,,,,,,,
76,1.2,0.9,0.9,0.3,14,11,0.06,-,0.04,-,,,,,,,,,,,,,,,,,,,
77,0.03,-,1,-,1,-,0.035,-,0.025,-,27,25,8,6,5,3,0.22,0.12,,,,,,,,,,,
78,0.1,-,0.8,-,0.8,-,0.035,-,0.025,-,13.5,11.5,1.8,0.8,0.5,0.2,,,,,0.05,-,,,,,,,Cu+W+V≤0.5
79,0.08,-,1.5,-,1.5,-,0.04,-,0.04,-,21,18,13,9,4,3,,,,,,,,,,,,,
80,0.4,0.3,0.8,-,1.4,1.1,0.03,-,0.03,-,0.3,-,0.3,-,0.15,-,,,,,,,,,,,,,
81,0.8,0.7,0.7,0.2,1.1,0.7,0.035,-,0.03,-,1.5,0.8,-,0.2,0.6,0.2,,,,,,,,,,,,,
82,0.6,0.4,2,0.5,1.5,-,0.04,-,0.03,-,21,16,55,50,0.5,-,,,,,,,,,,,,,
83,0.14,0.1,0.3,0.2,1,0.8,0.02,-,0.01,-,9.6,9,0.2,0.1,1.6,1.4,0.022,0.015,0.01,-,0.23,0.18,0.08,0.05,0.011,0.008,1.1,0.9,Alt≤0.02
84,1.35,1.05,0.9,0.3,14,11,0.06,-,0.04,-,2.5,1.5,,,,,,,,,,,,,,,,,
85,0.025,-,1,-,1.2,-,0.03,-,0.01,-,20.5,19.5,19.5,17.5,7,6,0.24,0.18,,,,,,,,,,,
86,0.06,-,0.8,-,1,-,0.035,-,0.025,-,17,15.5,6,4.5,1,0.4,,,,,0.05,-,,,,,,,Cu+W+V≤0.5
87,0.03,-,1,-,2,-,0.035,-,0.025,-,23,21,6.5,4.5,3.5,2.5,0.2,0.12,,,0.08,-,,,,,,,
88,0.45,0.35,0.4,0.2,1.8,1.6,0.03,-,0.03,-,0.3,-,0.3,-,0.15,-,,,,,,,,,,,,,
89,1.7,1.5,0.6,0.3,1.1,0.7,0.035,-,0.03,-,1.2,0.8,,,0.6,0.2,,,,,,,,,,,,,
90,0.5,-,1,-,1,-,0.04,-,0.03,-,30,25,1,-,0.5,-,,,,,,,,,,,52,48,
91,0.05,-,1,-,1,-,0.035,-,0.015,-,13.5,12,5,3.5,0.7,-,,,,,0.08,-,,,,,,,
92,1.35,1.05,0.9,0.3,14,11,0.06,-,0.04,-,,,4,3,,,,,,,,,,,,,,,
93,0.03,-,1,-,2,-,0.035,-,0.025,-,26.5,24.5,7,5.5,3.5,2.5,0.25,0.12,,,,,,,,,,,
94,0.2,-,0.5,-,0.8,-,0.04,-,0.04,-,0.35,-,0.3,-,0.2,-,,,,,,,,,,,,,
95,0.12,-,1.5,-,14,12,0.06,-,0.035,-,20,17,,,2,1.5,0.26,0.19,,,,,,,,,,,
96,0.15,-,0.8,-,0.8,-,0.035,-,0.025,-,13.5,11.5,1,-,0.5,-,,,,,,,,,,,,,
97,0.4,0.32,1.4,1.1,1.4,1.1,0.03,-,0.03,-,0.3,-,0.3,-,0.3,0.2,,,,,,,,,,,,,
98,2,1.8,0.8,0.3,1.2,0.6,0.035,-,0.03,-,3.5,1.5,2,1,0.6,0.2,,,,,,,,,,,,,
99,1.05,0.9,0.9,0.3,14,11,0.06,-,0.04,-,,,,,,,,,,,,,,,,,,,
100,0.03,-,1.5,-,2,-,0.035,-,0.03,-,20,18,12,9,,,0.2,0.12,,,,,,,,,,,
101,1.5,1.1,0.8,0.3,14,11,0.09,-,0.04,-,,,,,,,,,,,,,,,,,,,
102,0.5,0.3,2.5,1,1,0.5,0.04,-,0.03,-,19,16,1,-,0.5,-,,,,,,,,,,,,,
103,0.5,-,0.5,-,0.9,-,0.04,-,0.04,-,0.35,-,0.3,-,0.2,-,,,,,,,,,,,,,
104,0.5,0.3,2.5,1,1,0.5,0.03,-,0.03,-,19,16,1,-,0.5,-,,,,,,,,,,,,,
105,0.45,0.38,0.6,-,1,0.6,0.025,-,0.02,-,1.2,0.8,,,0.3,0.15,,,,,,,,,,,,,
106,0.06,-,1,-,1,-,0.035,-,0.025,-,13.5,12,5,3.5,0.7,-,,,,,0.05,-,,,,,,,
107,0.35,0.25,0.45,0.17,1.2,0.9,0.03,-,0.03,-,1.2,0.9,0.3,-,0.3,0.2,,,,,,,,,,,,,
108,1.6,1.4,1.7,1,1,0.6,0.035,-,0.03,-,1,0.6,1,0.2,0.5,0.2,,,,,,,,,,,,,
109,1.35,1.05,0.9,0.3,14,11,0.06,-,0.04,-,,,,,,,,,,,,,,,,,,,
110,0.03,-,1.5,-,2,-,0.035,-,0.03,-,20,18,12,9,2.5,2,0.2,0.12,,,,,,,,,,,
111,1.2,0.9,0.6,0.3,14,11,0.07,-,0.04,-,,,,,,,,,,,,,,,,,,,
112,0.5,0.3,2.5,1,1,0.5,0.04,-,0.03,-,26,23,1,-,0.5,-,,,,,,,,,,,,,
113,0.25,0.18,0.6,-,1.2,0.8,0.03,-,0.02,-,0.3,-,0.4,-,0.12,-,,,,,,,,,,,,,Cr+Ni+Cu+Mo+V≤1.00
114,0.4,0.3,2,1.3,1.5,0.8,0.03,-,0.03,-,25.5,23,8.5,7,,,0.28,0.2,,,,,,,,,,,
115,0.1,-,0.4,-,0.8,0.5,0.03,-,0.02,-,12.5,11.5,1.5,0.8,0.5,-,,,,,0.3,-,,,,,,,
116,0.37,0.3,0.6,0.3,1,0.6,0.03,-,0.03,-,1.7,1.4,1.7,1.4,0.35,0.15,,,,,,,,,,,,,
117,1.8,1,1,0.4,1,0.5,0.035,-,0.03,-,15,8,1.5,0.5,4.5,1.5,,,,,,,,,,,,,
118,1.35,1.05,0.9,0.3,19,16,0.06,-,0.04,-,,,,,,,,,,,,,,,,,,,
119,0.03,-,1,-,2,-,0.035,-,0.025,-,23,21,6.5,4.5,3.5,2.5,0.2,0.12,,,,,,,,,,,
120,0.5,0.3,2.5,1,2,-,0.04,-,0.03,-,23,21,11,9,0.5,-,,,,,,,,,,,,,
121,0.2,0.15,0.6,-,1.2,0.8,0.02,-,0.02,-,0.3,-,0.4,-,0.65,0.45,,,,,0.05,-,,,,,,,
122,0.5,0.2,2,-,2,-,0.03,-,0.03,-,30,26,18,14,0.5,-,,,,,,,,,,,,,
123,0.07,-,1.5,-,1.5,-,0.04,-,0.03,-,20,18,11,8,,,,,,,,,,,,,,,
124,0.25,0.17,0.45,0.2,0.8,0.5,0.03,-,0.03,-,0.8,0.5,0.3,-,0.65,0.45,,,,,,,,,,,,,
125,0.15,-,1.5,-,1,-,0.035,-,0.025,-,14,11.5,1,-,0.5,-,,,,,,,,,,,,,
126,0.2,-,0.6,-,1.2,-,0.025,-,0.025,-,0.35,-,0.4,-,0.15,-,,,,,0.05,-,,,,,,,残余元素Ni+Cr+Cu+Mo+V≤1.0
127,0.03,-,1,-,2,-,0.035,-,0.025,-,22,19,30,26,2.5,2,0.2,-,,,,,,,,,,,
128,0.5,0.3,2.5,1,2,-,0.04,-,0.03,-,27,24,22,19,0.5,-,,,,,,,,,,,,,
129,0.2,0.13,0.6,-,0.9,0.5,0.02,-,0.02,-,2.5,2,0.4,-,1.2,0.9,,,,,0.05,-,,,,,,,
130,0.4,0.3,2.5,1.5,1.5,-,0.03,-,0.03,-,20,17,26,23,,,,,,,,,,,,,,,
131,0.03,-,1.5,-,2,-,0.035,-,0.03,-,20,18,12,9,2.5,2,0.2,0.1,,,,,,,,,,,
132,0.45,0.38,0.6,0.3,1,0.6,0.03,-,0.03,-,1.2,0.8,0.3,-,0.3,0.2,,,,,,,,,,,,,
133,0.12,-,1.5,-,2,0.8,0.03,-,0.04,-,20,17,11,8,,,,,,,,,,,,,,,Ti：5(wc - 0.03)~0.80
134,0.25,0.17,0.8,-,1.6,1,0.025,-,0.025,-,0.35,-,0.4,-,0.15,-,,,,,0.05,-,,,,,,,残余元素Ni+Cr+Cu+Mo+V≤1.0
135,0.65,0.55,0.45,0.2,1.2,0.9,0.035,-,0.03,-,1.2,0.8,,,0.45,0.2,,,,,,,,,,,,,
136,0.12,0.05,1.2,-,1.2,-,0.04,-,0.03,-,23,19,34,30,0.5,-,,,,,,,1.5,0.8,,,,,
137,0.28,0.23,0.8,-,1,0.6,0.03,-,0.025,-,0.8,0.4,0.8,0.4,0.3,0.15,,,,,0.03,-,,,,,,,
138,0.45,0.35,2,1.2,1,-,0.03,-,0.03,-,24,21,5,3.5,,,0.3,0.23,,,,,,,,,,,
139,0.07,-,1.5,-,1.5,-,0.04,-,0.03,-,20,18,12,9,2.5,2,,,,,,,,,,,,,Nb：8C~1.00
140,0.35,0.25,0.6,0.3,1,0.7,0.03,-,0.03,-,0.9,0.6,1,0.6,0.5,0.35,,,,,,,,,,,,,
141,0.06,-,1,-,1,-,0.03,-,0.025,-,14,11.5,4.5,3.5,1,0.4,,,,,0.08,-,,,,,,,
142,0.7,0.6,0.6,0.2,0.8,0.5,0.035,-,0.03,-,1.2,0.8,0.5,0.2,0.45,0.2,,,,,,,,,,,,,
