牌号,欧标钢号,对应标准,归类,性能,标签,说明,旧牌号,德国W-Nr.,美国UNS,其他名称
ZG120Mn13Ni4,,JB /T 6404-2017 大型高锰钢铸件 技术条件,铸钢,,,,ZG120Mn13Ni3,,,
ZG03Cr26Ni6Mo3N,,GB /T 2100-2017 通用耐蚀钢铸件,铸钢,,,,,,,
RZG200-400,,JB /T 5100-1991 熔模铸造碳钢件 技术条件,铸钢,,,,,,,
ZG12Cr19Mn13Mo2CuN,,JB /T 6405-2018 大型不锈钢铸件 技术条件,铸钢,,,,ZG12Cr18Mn13Mo2CuN,,,
ZG15Cr13,,GB /T 2100-2017 通用耐蚀钢铸件,铸钢,,,,,,,
ZG35SiMnMo,,JB /T 6402-2018 大型低合金钢铸件 技术条件,铸钢,,,,,,,
AD190,,GB /T 1503-2008 铸钢轧辊,铸钢,,半钢,,,,,
ZG100Mn13,,GB /T 5680-2010 奥氏体锰钢铸件,铸钢,,,,,,,
ZG03Cr19Ni11N,,GB /T 16253-2019 承压钢铸件,铸钢,,,,,,,
ZGMn13-1,,YB /T 036.4-1992 冶金设备制造通用技术条件——高锰钢铸件,铸钢,,,适用低冲击件,,,,
ZG40Cr17Si2,,GB /T 8492-2014 一般用途耐热钢和合金铸件,铸钢,,,,,,,
RZG310-570,,JB /T 5100-1991 熔模铸造碳钢件 技术条件,铸钢,,,,,,,
ZG40Cr18Si2,,JB /T 6403-2017 大型耐热钢铸件 技术条件,铸钢,,,,ZG40Cr17Si2,,,
G42CrMo4,1.7231,EN 10293-2005 铸钢件,铸钢,,,,,,,
ZG06Cr13Ni4Mo,,GB /T 2100-2017 通用耐蚀钢铸件,铸钢,,,,,,,
ZG30Cr1MnMo,,JB /T 6402-2018 大型低合金钢铸件 技术条件,铸钢,,,,,,,
GS150,,GB /T 1503-2008 铸钢轧辊,铸钢,,石墨钢,,ZUS150SiCrNiMo,,,
ZG120Mn13W1,,GB /T 5680-2010 奥氏体锰钢铸件,铸钢,,,,,,,
ZG03Cr19Ni11Mo2N,,GB /T 16253-2019 承压钢铸件,铸钢,,,,,,,
ZGMn13-4,,YB /T 036.4-1992 冶金设备制造通用技术条件——高锰钢铸件,铸钢,,,适用高冲击件,,,,
