成分,C,Si,Mn,P,S,Cr,Mo,Nb,,,,,,,
最小值,0.6,0.2,0.7,-,-,0.8,0.2,0.06,,,,,,,
最大值,0.7,0.6,1.2,0.035,0.03,1.2,0.45,0.1,,,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Mo,,,,,,,
最小值,0.3,1,-,-,-,24,33,-,,,,,,,
最大值,0.5,2.5,2,0.04,0.03,27,36,0.5,,,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Cu,Mo,V,,,,,
最小值,0.15,-,0.55,-,-,1.3,3,-,0.45,-,,,,,
最大值,0.19,0.5,0.8,0.015,0.015,1.8,3.5,0.3,0.6,0.05,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,N,,,,,,,
最小值,0.18,1.8,8.5,-,-,17,2,0.2,,,,,,,
最大值,0.28,2.7,11,0.03,0.03,21,3,0.28,,,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Mo,N,,,,,,
最小值,-,-,-,-,-,18,9,3,0.1,,,,,,
最大值,0.03,1.5,1.5,0.04,0.03,20,12,3.5,0.2,,,,,,
成分,C,Si,Mn,P,S,Cr,Cu,W,V,更多,,,,,
最小值,0.16,-,-,-,-,11.5,-,-,-,Cu+W+V≤0.5,,,,,
最大值,0.24,0.8,0.8,0.035,0.025,13.5,0.5,0.1,0.05,Cu+W+V≤0.5,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Cu,Mo,W,V,,,,
最小值,-,-,-,-,-,12,5.5,-,0.4,-,-,,,,
最大值,0.06,1,1,0.03,0.025,14,6.5,0.5,1,0.1,0.08,,,,
成分,C,Si,Mn,P,S,,,,,,,,,,
最小值,0.65,0.2,1.4,-,-,,,,,,,,,,
最大值,0.75,0.45,1.8,0.035,0.03,,,,,,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Mo,Nb,,,,,,
最小值,0.3,1,-,-,-,18,36,-,1.2,,,,,,
最大值,0.5,2.5,2,0.04,0.03,21,39,0.5,1.8,,,,,,
成分,C,Si,Mn,P,S,Cr,Cu,Mo,V,,,,,,
最小值,0.12,-,0.5,-,-,4,-,0.45,-,,,,,,
最大值,0.19,0.8,0.8,0.025,0.025,6,0.3,0.65,0.05,,,,,,
成分,C,Si,Mn,P,S,,,,,,,,,,
最小值,0.9,0.3,11,-,-,,,,,,,,,,
最大值,1.2,0.9,14,0.06,0.04,,,,,,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Cu,Mo,N,,,,,
最小值,-,-,-,-,-,25,6,-,3,0.12,,,,,
最大值,0.03,1,1,0.035,0.025,27,8,1.3,5,0.22,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Cu,Mo,W,V,更多,,,
最小值,-,-,-,-,-,11.5,0.8,-,0.2,-,-,Cu+W+V≤0.5,,,
最大值,0.1,0.8,0.8,0.035,0.025,13.5,1.8,0.5,0.5,0.1,0.05,Cu+W+V≤0.5,,,
成分,C,Si,Mn,P,S,Cr,Ni,Mo,,,,,,,
最小值,-,-,-,-,-,18,9,3,,,,,,,
最大值,0.08,1.5,1.5,0.04,0.04,21,13,4,,,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Cu ,Mo,V ,,,,,
最小值,0.3,-,1.1,-,-,-,-,-,-,-,,,,,
最大值,0.4,0.8,1.4,0.03,0.03,0.3,0.3,0.25,0.15,0.05,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Mo,,,,,,,
最小值,0.7,0.2,0.7,-,-,0.8,0.2,0.2,,,,,,,
最大值,0.8,0.7,1.1,0.035,0.03,1.5,-,0.6,,,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Mo,,,,,,,
最小值,0.4,0.5,-,-,-,16,50,-,,,,,,,
最大值,0.6,2,1.5,0.04,0.03,21,55,0.5,,,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Mo,N,Ti,V,Nb,B,Co,更多
最小值,0.1,0.2,0.8,-,-,9,0.1,1.4,0.015,-,0.18,0.05,0.008,0.9,Alt≤0.02
最大值,0.14,0.3,1,0.02,0.01,9.6,0.2,1.6,0.022,0.01,0.23,0.08,0.011,1.1,Alt≤0.02
成分,C,Si,Mn,P,S,Cr,,,,,,,,,
最小值,1.05,0.3,11,-,-,1.5,,,,,,,,,
最大值,1.35,0.9,14,0.06,0.04,2.5,,,,,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Cu,Mo,N,,,,,
最小值,-,-,-,-,-,19.5,17.5,0.5,6,0.18,,,,,
最大值,0.025,1,1.2,0.03,0.01,20.5,19.5,1,7,0.24,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Cu,Mo,W,V,更多,,,
最小值,-,-,-,-,-,15.5,4.5,-,0.4,-,-,Cu+W+V≤0.5,,,
最大值,0.06,0.8,1,0.035,0.025,17,6,0.5,1,0.1,0.05,Cu+W+V≤0.5,,,
成分,C,Si,Mn,P,S,Cr,Ni,Cu,Mo,N,V,,,,
最小值,-,-,-,-,-,21,4.5,-,2.5,0.12,-,,,,
最大值,0.03,1,2,0.035,0.025,23,6.5,0.5,3.5,0.2,0.08,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Cu ,Mo,V ,,,,,
最小值,0.35,0.2,1.6,-,-,-,-,-,-,-,,,,,
最大值,0.45,0.4,1.8,0.03,0.03,0.3,0.3,0.25,0.15,0.05,,,,,
成分,C,Si,Mn,P,S,Cr,Mo,,,,,,,,
最小值,1.5,0.3,0.7,-,-,0.8,0.2,,,,,,,,
最大值,1.7,0.6,1.1,0.035,0.03,1.2,0.6,,,,,,,,
成分,Fe,C,Si,Mn,P,S,Cr,Ni,Mo,Co,,,,,
最小值,-,-,-,-,-,-,25,-,-,48,,,,,
最大值,20,0.5,1,1,0.04,0.03,30,1,0.5,52,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Cu,Mo,V,,,,,
最小值,-,-,-,-,-,12,3.5,-,-,-,,,,,
最大值,0.05,1,1,0.035,0.015,13.5,5,0.3,0.7,0.08,,,,,
成分,C,Si,Mn,P,S,Ni,,,,,,,,,
最小值,1.05,0.3,11,-,-,3,,,,,,,,,
最大值,1.35,0.9,14,0.06,0.04,4,,,,,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Mo,N,,,,,,
最小值,-,-,-,-,-,24.5,5.5,2.5,0.12,,,,,,
最大值,0.03,1,2,0.035,0.025,26.5,7,3.5,0.25,,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Cu ,Mo,V ,,,,,
最小值,-,-,-,-,-,-,-,-,-,-,,,,,
最大值,0.2,0.5,0.8,0.04,0.04,0.35,0.3,0.3,0.2,0.05,,,,,
成分,C,Si,Mn,P,S,Cr,Cu,Mo,N,,,,,,
最小值,-,-,12,-,-,17,1,1.5,0.19,,,,,,
最大值,0.12,1.5,14,0.06,0.035,20,1.5,2,0.26,,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Mo,,,,,,,
最小值,-,-,-,-,-,11.5,-,-,,,,,,,
最大值,0.15,0.8,0.8,0.035,0.025,13.5,1,0.5,,,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Cu ,Mo,V ,,,,,
最小值,0.32,1.1,1.1,-,-,-,-,-,0.2,-,,,,,
最大值,0.4,1.4,1.4,0.03,0.03,0.3,0.3,0.3,0.3,0.05,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Mo,,,,,,,
最小值,1.8,0.3,0.6,-,-,1.5,1,0.2,,,,,,,
最大值,2,0.8,1.2,0.035,0.03,3.5,2,0.6,,,,,,,
成分,C,Si,Mn,P,S,,,,,,,,,,
最小值,0.9,0.3,11,-,-,,,,,,,,,,
最大值,1.05,0.9,14,0.06,0.04,,,,,,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Cu,N,,,,,,
最小值,-,-,-,-,-,18,9,-,0.12,,,,,,
最大值,0.03,1.5,2,0.035,0.03,20,12,0.5,0.2,,,,,,
成分,C,Si,Mn,P,S,,,,,,,,,,
最小值,1.1,0.3,11,-,-,,,,,,,,,,
最大值,1.5,0.8,14,0.09,0.04,,,,,,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Mo,,,,,,,
最小值,0.3,1,0.5,-,-,16,-,-,,,,,,,
最大值,0.5,2.5,1,0.04,0.03,19,1,0.5,,,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Cu ,Mo,V ,,,,,
最小值,-,-,-,-,-,-,-,-,-,-,,,,,
最大值,0.5,0.5,0.9,0.04,0.04,0.35,0.3,0.3,0.2,0.05,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Mo,,,,,,,
最小值,0.3,1,0.5,-,-,16,-,-,,,,,,,
最大值,0.5,2.5,1,0.03,0.03,19,1,0.5,,,,,,,
成分,C,Si,Mn,P,S,Cr,Mo,,,,,,,,
最小值,0.38,-,0.6,-,-,0.8,0.15,,,,,,,,
最大值,0.45,0.6,1,0.025,0.02,1.2,0.3,,,,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Cu,Mo,W,V,,,,
最小值,-,-,-,-,-,12,3.5,-,-,-,-,,,,
最大值,0.06,1,1,0.035,0.025,13.5,5,0.5,0.7,0.1,0.05,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Cu ,Mo,V ,,,,,
最小值,0.25,0.17,0.9,-,-,0.9,-,-,0.2,-,,,,,
最大值,0.35,0.45,1.2,0.03,0.03,1.2,0.3,0.25,0.3,0.05,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Mo,,,,,,,
最小值,1.4,1,0.6,-,-,0.6,0.2,0.2,,,,,,,
最大值,1.6,1.7,1,0.035,0.03,1,1,0.5,,,,,,,
成分,C,Si,Mn,P,S,W,,,,,,,,,
最小值,1.05,0.3,11,-,-,0.9,,,,,,,,,
最大值,1.35,0.9,14,0.06,0.04,1.2,,,,,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Cu,Mo,N,,,,,
最小值,-,-,-,-,-,18,9,-,2,0.12,,,,,
最大值,0.03,1.5,2,0.035,0.03,20,12,0.5,2.5,0.2,,,,,
成分,C,Si,Mn,P,S,,,,,,,,,,
最小值,0.9,0.3,11,-,-,,,,,,,,,,
最大值,1.2,0.6,14,0.07,0.04,,,,,,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Mo,,,,,,,
最小值,0.3,1,0.5,-,-,23,-,-,,,,,,,
最大值,0.5,2.5,1,0.04,0.03,26,1,0.5,,,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Cu ,Mo,V ,更多,,,,
最小值,0.18,-,0.8,-,-,-,-,-,-,-,Cr+Ni+Cu+Mo+V≤1.00,,,,
最大值,0.25,0.6,1.2,0.03,0.02,0.3,0.4,0.3,0.12,0.03,Cr+Ni+Cu+Mo+V≤1.00,,,,
成分,C,Si,Mn,P,S,Cr,Ni,N,,,,,,,
最小值,0.3,1.3,0.8,-,-,23,7,0.2,,,,,,,
最大值,0.4,2,1.5,0.03,0.03,25.5,8.5,0.28,,,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Cu,Mo,V,,,,,
最小值,-,-,0.5,-,-,11.5,0.8,-,-,-,,,,,
最大值,0.1,0.4,0.8,0.03,0.02,12.5,1.5,0.3,0.5,0.3,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Cu ,Mo,V ,,,,,
最小值,0.3,0.3,0.6,-,-,1.4,1.4,-,0.15,-,,,,,
最大值,0.37,0.6,1,0.03,0.03,1.7,1.7,0.25,0.35,0.05,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Mo,,,,,,,
最小值,1,0.4,0.5,-,-,8,0.5,1.5,,,,,,,
最大值,1.8,1,1,0.035,0.03,15,1.5,4.5,,,,,,,
成分,C,Si,Mn,P,S,,,,,,,,,,
最小值,1.05,0.3,16,-,-,,,,,,,,,,
最大值,1.35,0.9,19,0.06,0.04,,,,,,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Cu,Mo,N,,,,,
最小值,-,-,-,-,-,21,4.5,-,2.5,0.12,,,,,
最大值,0.03,1,2,0.035,0.025,23,6.5,0.5,3.5,0.2,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Mo,,,,,,,
最小值,0.3,1,-,-,-,21,9,-,,,,,,,
最大值,0.5,2.5,2,0.04,0.03,23,11,0.5,,,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Cu,Mo,V,,,,,
最小值,0.15,-,0.8,-,-,-,-,-,0.45,-,,,,,
最大值,0.2,0.6,1.2,0.02,0.02,0.3,0.4,0.3,0.65,0.05,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Mo,,,,,,,
最小值,0.2,-,-,-,-,26,14,-,,,,,,,
最大值,0.5,2,2,0.03,0.03,30,18,0.5,,,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,,,,,,,,
最小值,-,-,-,-,-,18,8,,,,,,,,
最大值,0.07,1.5,1.5,0.04,0.03,20,11,,,,,,,,
