,0
976,962172
977,265854
978,1076868
979,3717
980,2207367
981,1511049
982,1568397
983,2379411
984,1740441
985,2231970
986,462501
987,257712
988,1445559
989,806589
990,1560255
991,1240770
992,2051784
993,1732299
994,1789647
995,1093329
996,2543313
997,2338524
998,2076387
999,2510568
1000,798447
1001,159477
1002,593658
1003,274173
1004,651006
1005,1781505
1006,1085187
1007,12036
1008,765702
1009,2215686
1010,1953549
1011,618261
1012,2502426
1013,356124
1014,1806108
1015,2182941
1016,36639
1017,2559774
1018,470820
1019,847653
1020,2354985
1021,962349
1022,266031
1023,1077045
1024,2207544
1025,1511226
1026,1568574
1027,2379588
1028,1740618
1029,2232147
1030,462678
1031,839511
1032,1593177
1033,1445736
1034,53100
1035,429933
1036,806766
1037,1560432
1038,2051961
1039,1732476
1040,1789824
1041,1093506
1042,2338701
1043,2076564
1044,44958
1045,159654
1046,593835
1047,274350
1048,651183
1049,1085364
1050,2215863
1051,69561
1052,1953726
1053,618438
1054,2502603
1055,1429452
1056,470997
1057,847830
1058,2355162
1059,266208
1060,1716192
1061,1077222
1062,4071
1063,757737
1064,2207721
1065,1511403
1066,815085
1067,1568751
1068,1626099
1069,2379765
1070,1740795
1071,462855
1072,839688
1073,1593354
1074,315414
1075,1445913
1076,53277
1077,430110
1078,806943
1079,1560609
1080,2052138
1081,659502
1082,1790001
1083,1093683
1084,2338878
1085,2076741
1086,2134089
1087,45135
1088,421968
1089,798801
1090,159831
1091,594012
1092,651360
1093,1781859
1094,1085541
1095,12390
1096,2216040
1097,1953903
1098,2502780
1099,2560128
1100,36993
1101,471174
1102,848007
1103,266385
1104,1716369
1105,1077399
1106,4248
1107,757914
1108,2207898
1109,1511580
1110,1568928
1111,1249443
1112,1626276
1113,2379942
1114,463032
1115,1593531
1116,315591
1117,1446090
1118,430287
1119,807120
1120,1560786
1121,1618134
1122,1732830
1123,659679
1124,1790178
1125,1093860
1126,2339055
1127,1323252
1128,2076918
1129,45312
1130,422145
1131,798978
1132,160008
1133,594189
1134,1724688
1135,651537
1136,1085718
1137,12567
1138,2216217
1139,2502957
1140,37170
1141,471351
1142,848184
1143,266562
1144,1716546
1145,2150727
1146,1077576
1147,4425
1148,2208075
1149,1511757
1150,815439
1151,1569105
1152,1626453
1153,2380119
1154,463209
1155,1593708
1156,1388919
1157,315768
1158,1446267
1159,53631
1160,430464
1161,1560963
1162,1733007
1163,659856
1164,1790355
1165,2077095
1166,2134443
1167,2511276
1168,1814958
1169,45489
1170,799155
1171,1175988
1172,160185
1173,594366
1174,651714
1175,1782213
1176,1085895
1177,12744
1178,2216394
1179,2560482
1180,37347
1181,471528
1182,266739
1183,1716723
1184,1077753
1185,4602
1186,758268
1187,2208252
1188,1511934
1189,815616
1190,1569282
1191,2380296
1192,463386
1193,1389096
1194,315945
1195,1446444
1196,53808
1197,430641
1198,1561140
1199,1618488
1200,660033
1201,1790532
1202,1094214
1203,1323606
1204,2511453
1205,365151
1206,1815135
1207,45666
1208,799332
1209,160362
1210,594543
1211,651891
1212,1782390
1213,1086072
1214,12921
1215,2216571
1216,2069130
1217,299661
1218,2126478
1219,2183826
1220,2560659
1221,37524
1222,471705
1223,1716900
1224,1077930
1225,2208429
1226,62127
1227,1512111
1228,815793
1229,1569459
1230,2380473
1231,2060988
1232,463563
1233,1594062
1234,955092
1235,1446621
1236,1561317
1237,1733361
1238,660210
1239,1790709
1240,1094391
1241,889602
1242,1323783
1243,2511630
1244,1438479
1245,1815312
1246,2192145
1247,45843
1248,799509
1249,1176342
1250,1553175
1251,1610523
1252,594720
1253,652068
1254,1086249
1255,13098
1256,2216748
1257,1520430
1258,2560836
1259,37701
1260,471882
1261,152397
1262,1602381
1263,267093
1264,1078107
1265,4956
1266,2208606
1267,62304
1268,1512288
1269,815970
1270,1569636
1271,2380650
1272,2061165
1273,349044
1274,463740
1275,2143116
1276,1446798
1277,1561494
1278,1618842
1279,1733538
1280,660387
1281,1790886
1282,1094568
1283,889779
1284,1323960
1285,2511807
1286,1438656
1287,1815489
1288,2192322
1289,799686
1290,1176519
1291,1553352
1292,594897
1293,652245
1294,1782744
1295,1086426
1296,2216925
1297,2069484
1298,2561013
1299,37878
1300,472059
1301,848892
1302,1602558
1303,1078284
1304,5133
1305,2208783
1306,1512465
1307,1569813
1308,2380827
1309,2061342
1310,463917
1311,1594416
1312,2520126
1313,1446975
1314,2577474
1315,54339
1316,1561671
1317,1619019
1318,1733715
1319,660564
1320,1791063
1321,1094745
1322,889956
1323,1438833
1324,1815666
1325,46197
1326,799863
1327,1553529
1328,160893
1329,595074
1330,1725573
1331,652422
1332,2102406
1333,1782921
1334,1086603
1335,13452
1336,2217102
1337,619677
1338,2069661
1339,300192
1340,2561190
1341,38055
1342,472236
1343,849069
1344,529584
1345,267447
1346,1078461
1347,5310
1348,2528445
1349,2208960
1350,1512642
1351,1569990
1352,2381004
1353,2061519
1354,2118867
1355,2462955
1356,2520303
1357,1447152
1358,374001
1359,54516
1360,1561848
1361,660741
1362,2168073
1363,1094922
1364,1586451
1365,890133
1366,1701147
1367,2135328
1368,1439010
1369,46374
1370,800040
1371,1553706
1372,161070
1373,595251
1374,1725750
1375,652599
1376,2102583
1377,13629
1378,619854
1379,2069838
1380,2561367
1381,472413
1382,849246
1383,152928
1384,1602912
1385,267624
1386,1078638
1387,2209137
1388,1512819
1389,2381181
1390,2119044
1391,1594770
1392,2520480
1393,1447329
1394,1562025
1395,1242540
1396,1619373
1397,546222
1398,1299888
1399,1734069
1400,660918
1401,1095099
1402,890310
1403,1701324
1404,2135505
1405,1439187
1406,1816020
1407,46551
1408,800217
1409,1553883
1410,161247
1411,595428
1412,1725927
1413,652776
1414,2102760
1415,1783275
1416,13806
1417,620031
1418,2561544
1419,38409
1420,472590
1421,849423
1422,153105
1423,529938
1424,1078815
1425,5664
1426,2528799
1427,2209314
1428,2586147
1429,63012
1430,1512996
1431,1570344
